date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-03,sh.600000,10.1900,10.2300,10.1100,10.1200,10.1800,40832020,414701608.0100,3,0.145300,1,-0.589400,5.327180,0.591489,1.527248,2.247691,0
2020-09-04,sh.600000,10.0700,10.1500,10.0100,10.0700,10.1200,38443982,387141417.9400,3,0.131000,1,-0.494100,5.300860,0.588567,1.519702,2.236586,0
2020-09-07,sh.600000,10.0700,10.1600,10.0100,10.0100,10.0700,58564585,589509231.0200,3,0.199500,1,-0.595800,5.269276,0.585060,1.510647,2.223259,0
2020-09-08,sh.600000,10.0700,10.0900,10.0100,10.0500,10.0100,52972540,532346432.8700,3,0.180500,1,0.399600,5.290332,0.587398,1.516684,2.232143,0
2020-09-09,sh.600000,10.0100,10.0800,10.0000,10.0100,10.0500,49418500,496009217.1600,3,0.168400,1,-0.398000,5.269276,0.585060,1.510647,2.223259,0
2020-09-10,sh.600000,10.0600,10.0600,9.9400,9.9600,10.0100,54169916,540727380.9400,3,0.184600,1,-0.499500,5.242956,0.582138,1.503102,2.212154,0
2020-09-11,sh.600000,9.9500,9.9600,9.8500,9.9200,9.9600,49947642,494619679.9000,3,0.170200,1,-0.401600,5.221900,0.579800,1.497065,2.203270,0
2020-09-14,sh.600000,9.9500,9.9500,9.8600,9.9000,9.9200,38851230,384257705.8000,3,0.132400,1,-0.201600,5.211372,0.578631,1.494047,2.198828,0
2020-09-15,sh.600000,9.9100,9.9200,9.8500,9.8600,9.9000,46601549,459933677.8500,3,0.158800,1,-0.404000,5.190316,0.576293,1.488010,2.189944,0
2020-09-16,sh.600000,9.8700,9.9000,9.8000,9.8600,9.8600,51470657,507227129.4500,3,0.175400,1,0.000000,5.190316,0.576293,1.488010,2.189944,0
2020-09-17,sh.600000,9.8700,9.8900,9.8000,9.8300,9.8600,43171675,424496711.8200,3,0.147100,1,-0.304300,5.174524,0.574540,1.483483,2.183281,0
2020-09-18,sh.600000,9.8400,9.9400,9.8000,9.9400,9.8300,95230581,941630507.9200,3,0.324400,1,1.119000,5.232428,0.580969,1.500083,2.207712,0
2020-09-21,sh.600000,9.9400,9.9700,9.8300,9.8400,9.9400,55998716,553037614.4800,3,0.190800,1,-1.006000,5.179788,0.575124,1.484992,2.185502,0
2020-09-22,sh.600000,9.8100,9.8400,9.6900,9.7000,9.8400,65952098,643194146.4000,3,0.224700,1,-1.422800,5.106092,0.566941,1.463864,2.154407,0
2020-09-23,sh.600000,9.7100,9.7200,9.6200,9.6300,9.7000,41909587,404393340.1600,3,0.142800,1,-0.721600,5.069244,0.562850,1.453300,2.138860,0
2020-09-24,sh.600000,9.6100,9.6200,9.4600,9.5000,9.6300,53858739,512493256.0400,3,0.183500,1,-1.349900,5.000812,0.555252,1.433681,2.109986,0
